Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.020297,-0.122683,3.340447,1763.534424,-4844.311523,150.686249
2,0,0.026062,-0.11763,3.332065,1720.797241,-4851.72168,150.374985
3,0,0.03227,-0.109383,3.321526,1677.94165,-4858.396973,150.754166
4,0,0.036522,-0.110087,3.314765,1634.561035,-4865.478027,151.382767
5,0,0.031746,-0.106348,3.305807,1590.497314,-4871.981934,151.408188
6,0,0.035273,-0.098567,3.297817,1545.991821,-4878.14209,150.802185
7,0,0.031151,-0.104057,3.28906,1501.003052,-4884.204102,149.871307
8,0,0.036719,-0.095743,3.281736,1456.245483,-4889.785645,149.990479
9,0,0.037697,-0.085714,3.272658,1410.136841,-4895.105957,149.536087
10,0,0.036616,-0.083651,3.264675,1363.705566,-4900.170898,149.756302
11,0,0.035552,-0.07963,3.25934,1316.706909,-4905.306641,149.651031
12,0,0.032761,-0.082256,3.252751,1269.178833,-4910.110352,149.841278
13,0,0.029965,-0.072839,3.247335,1221.231812,-4914.69043,149.489899
14,0,0.029259,-0.071429,3.240407,1172.717285,-4919.016113,149.019363
15,0,0.03238,-0.066027,3.233372,1124.098145,-4923.30957,148.958939
16,0,0.028757,-0.092509,3.220217,1073.814453,-4927.057129,149.53978
17,0,0.029207,-0.086402,3.217746,1024.476807,-4931.106445,149.525742
18,0,0.027269,-0.079999,3.21244,973.920227,-4934.550781,149.220291
19,0,0.022936,-0.072988,3.207481,923.102539,-4937.719727,148.880173
20,0,0.026818,-0.075362,3.201648,871.686218,-4940.836426,148.824356
21,0,0.029907,-0.07982,3.196216,819.729614,-4943.808105,148.498062
22,0,0.035092,-0.075373,3.192385,767.497803,-4946.349609,148.258942
23,0,0.03786,-0.075777,3.187918,714.322327,-4948.851562,148.028244
24,0,0.036985,-0.069459,3.182474,660.507996,-4950.76416,147.285965
25,0,0.037601,-0.064574,3.178744,606.213379,-4952.102539,147.086609
26,0,0.034487,-0.063051,3.17489,551.034424,-4953.55957,147.073166
27,0,0.030667,-0.069268,3.169904,496.110413,-4955.032227,146.747742
28,0,0.028541,-0.076971,3.163562,440.17276,-4956.100586,146.386978
29,0,0.032531,-0.06797,3.159754,384.407501,-4956.882812,146.18573
30,0,0.034444,-0.066291,3.154479,327.663757,-4957.308105,146.172516
31,0,0.035067,-0.070352,3.146997,269.670288,-4957.278809,145.582794
32,0,0.033542,-0.076011,3.142998,212.291214,-4957.839355,145.320984
33,0,0.039429,-0.079009,3.139105,154.295471,-4957.888672,144.993484
34,0,0.039861,-0.069213,3.135254,96.427498,-4957.281738,145.154327
35,0,0.045606,-0.073193,3.130731,37.635273,-4956.550293,145.399994
36,0,0.046863,-0.060654,3.125508,-21.87327,-4955.57666,145.168854
37,0,0.048276,-0.06765,3.116395,-82.316475,-4954.384766,145.37204
38,0,0.051309,-0.072754,3.111638,-143.036743,-4952.599609,145.151932
39,0,0.050016,-0.070663,3.106122,-204.479187,-4950.587891,145.130936
40,0,0.045729,-0.071572,3.099109,-266.639038,-4947.735352,144.844498
41,0,0.047166,-0.07116,3.092161,-329.012695,-4944.594238,144.979065
42,0,0.040963,-0.064812,3.085873,-392.16449,-4941.383789,145.133301
43,0,0.039206,-0.072637,3.078824,-455.424408,-4937.713867,144.91394
44,0,0.039279,-0.065395,3.069168,-518.779053,-4933.650391,145.228683
45,0,0.036661,-0.057828,3.059426,-583.165161,-4928.680664,144.827789
46,0,0.030568,-0.055916,3.049518,-648.026184,-4923.593262,144.24794
47,0,0.021951,-0.063177,3.043651,-712.842041,-4918.65625,143.232147
48,0,0.004426,-0.061022,3.04227,-777.381104,-4914.214355,142.386078
49,0,-0.000854,-0.054389,3.031691,-841.322205,-4907.799805,142.096497
50,0,0.000725,-0.04755,3.020311,-906.420715,-4900.093262,141.475021
51,0,0.021958,-0.067243,2.99482,-972.708435,-4890.87793,140.426315
52,0,0.027287,-0.080443,2.985832,-1037.576172,-4883.177734,139.669739
53,0,0.019512,-0.09724,2.973977,-1102.091675,-4875.462891,139.473724
54,0,0.006449,-0.102814,2.968077,-1167.044922,-4866.48291,138.571167
55,0,-0.007453,-0.07059,2.962787,-1231.224731,-4857.277832,138.659607
56,0,-0.007108,-0.083853,2.950381,-1296.036621,-4846.479492,138.219833
57,0,0.002574,-0.086622,2.929739,-1359.077148,-4835.003906,138.517822
58,0,0.011683,-0.100019,2.91479,-1422.727783,-4823.337891,138.374146
59,0,0.022146,-0.111678,2.902338,-1485.760742,-4810.356934,138.411804
60,0,0.024193,-0.114714,2.892613,-1549.279175,-4795.765137,138.842255
61,0,0.017021,-0.101442,2.88302,-1612.83728,-4780.834473,138.97757
62,0,0.002378,-0.104441,2.876343,-1675.773926,-4765.347168,139.154022
63,0,-0.011979,-0.109896,2.865027,-1738.115967,-4749.089355,138.805588
64,0,-0.023578,-0.108971,2.854343,-1801.191406,-4732.492676,138.76207
65,0,-0.032108,-0.112212,2.838394,-1862.877563,-4715.199219,138.388565
66,0,-0.035178,-0.1111,2.82269,-1922.922852,-4697.705078,137.629089
67,0,-0.031591,-0.108723,2.803463,-1984.014771,-4679.363281,137.567551
68,0,-0.032639,-0.113139,2.784608,-2044.325073,-4660.077148,137.953308
69,0,-0.032391,-0.118612,2.762003,-2103.489014,-4639.98291,137.906235
70,0,-0.032138,-0.112311,2.741782,-2161.701172,-4619.579102,137.011673
71,0,-0.040061,-0.125011,2.719438,-2219.562256,-4598.461426,136.201309
72,0,-0.046459,-0.136453,2.694179,-2277.267578,-4576.241699,135.43367
73,0,-0.042342,-0.124269,2.671607,-2333.705322,-4552.869629,134.126678
74,0,-0.040842,-0.133862,2.65124,-2389.810059,-4528.275391,134.552765
75,0,-0.040575,-0.111477,2.634786,-2444.723145,-4505.589355,134.096954
76,0,-0.043968,-0.120234,2.621444,-2498.425293,-4480.768066,134.347214
77,0,-0.040669,-0.122369,2.590504,-2551.792725,-4453.653809,135.061234
78,0,-0.037472,-0.116169,2.566544,-2605.097168,-4428.474121,134.47995
79,0,-0.037376,-0.102023,2.540215,-2656.32373,-4401.305176,135.260101
80,0,-0.040864,-0.107343,2.518633,-2707.480469,-4375.615723,134.875641
81,0,-0.051535,-0.125513,2.500833,-2757.962158,-4347.416016,134.227631
82,0,-0.056728,-0.117244,2.478096,-2808.05542,-4320.366211,133.871506
83,0,-0.063937,-0.128752,2.459044,-2856.654785,-4291.413086,133.424286
84,0,-0.072034,-0.131001,2.432934,-2904.791504,-4261.988281,132.927109
85,0,-0.071545,-0.140094,2.406864,-2951.828125,-4232.093262,132.42955
86,0,-0.063416,-0.136557,2.384446,-2997.198242,-4202.107422,131.902771
87,0,-0.061053,-0.128178,2.356571,-3042.087158,-4171.390625,131.794296
88,0,-0.072509,-0.110929,2.335203,-3069.664795,-4133.479004,136.219864
89,0,-0.079495,-0.123831,2.307162,-3114.582764,-4102.674805,134.766922
90,0,-0.087088,-0.133928,2.280904,-3157.859863,-4071.153564,133.751236
91,0,-0.087643,-0.137175,2.255097,-3197.694092,-4038.75293,134.664627
