Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.044916,-0.016346,-0.043674,97.070389,18.160673,393.21521
2,0,0.043636,-0.016698,-0.041703,97.888695,18.609362,396.380066
3,0,0.044558,-0.019395,-0.03927,99.223976,19.097527,398.759308
4,0,0.045141,-0.020656,-0.038056,100.76873,19.643347,400.833862
5,0,0.045054,-0.021935,-0.036075,102.136398,20.059969,402.738556
6,0,0.043722,-0.023884,-0.034157,103.553047,20.559282,404.395691
7,0,0.044496,-0.025162,-0.031868,105.220474,21.138714,406.053986
8,0,0.046066,-0.025505,-0.030524,107.220665,21.524445,407.749756
9,0,0.046024,-0.026134,-0.028664,109.115677,21.931038,409.192078
10,0,0.046613,-0.026017,-0.026784,111.120735,22.34499,410.660278
11,0,0.047314,-0.026286,-0.024554,113.245598,22.698271,412.00592
12,0,0.048777,-0.026772,-0.022091,115.439499,23.063219,413.265625
13,0,0.050637,-0.026697,-0.019658,117.790619,23.429941,414.63797
14,0,0.053158,-0.026051,-0.017363,120.294418,23.785141,416.046417
15,0,0.05542,-0.024987,-0.015155,122.962891,24.17127,417.474792
16,0,0.058156,-0.023736,-0.013083,125.833748,24.595907,418.983643
17,0,0.062974,-0.020344,-0.01114,128.690445,25.110672,420.756134
18,0,0.065616,-0.018697,-0.009133,131.895889,25.645029,422.240509
19,0,0.068476,-0.015232,-0.007597,135.34433,26.244572,423.931915
20,0,0.070544,-0.012618,-0.005414,139.011627,26.829281,425.456909
21,0,0.072463,-0.008287,-0.00358,142.887054,27.460773,427.142517
22,0,0.07361,-0.005036,-0.001236,147.00531,28.04409,428.637878
23,0,0.074825,-0.000705,0.000527,151.447617,28.692009,430.321564
24,0,0.077531,0.003136,0.005057,155.886276,29.442419,431.862518
25,0,0.077927,0.009789,0.00785,160.355118,30.055721,433.688416
26,0,0.077182,0.013606,0.010621,165.244125,30.6262,435.273224
27,0,0.076128,0.017358,0.013102,170.41481,31.235918,436.815948
28,0,0.074094,0.021277,0.01584,175.699402,31.797823,438.313416
29,0,0.071095,0.02528,0.019085,181.151382,32.315968,439.775299
30,0,0.068265,0.029025,0.022036,186.903793,32.85096,441.193024
31,0,0.064441,0.032737,0.025082,192.914307,33.38784,442.491791
32,0,0.06116,0.036688,0.028441,199.093643,33.814732,443.79303
33,0,0.058097,0.040296,0.03143,205.595428,34.203907,445.074097
34,0,0.05558,0.044029,0.034272,212.336288,34.554535,446.368713
35,0,0.053011,0.04753,0.037118,219.33934,34.845543,447.622345
36,0,0.050999,0.050745,0.03972,226.547516,35.157681,448.876038
37,0,0.049243,0.054246,0.042451,234.026291,35.332897,450.16925
38,0,0.04791,0.057126,0.04509,241.769531,35.412819,451.462982
39,0,0.046878,0.061526,0.047426,249.776764,35.510265,452.932526
40,0,0.046617,0.06516,0.049655,257.993805,35.555523,454.368652
41,0,0.046393,0.06886,0.051521,266.483795,35.558491,455.876923
42,0,0.046505,0.072556,0.053244,275.192291,35.55751,457.448669
43,0,0.046818,0.076333,0.054519,284.127502,35.53833,459.109314
44,0,0.044237,0.079339,0.056039,293.377838,35.393288,460.742493
45,0,0.045145,0.082298,0.056469,302.753754,35.439079,462.440125
46,0,0.0459,0.085474,0.056475,312.332642,35.513664,464.281891
47,0,0.046722,0.088265,0.056163,322.153412,35.619026,466.253052
48,0,0.047949,0.090315,0.055574,332.128052,35.723568,468.345184
49,0,0.049208,0.091535,0.054702,342.322327,35.838978,470.611542
50,0,0.050743,0.091994,0.053527,352.689514,35.982288,473.022034
51,0,0.052515,0.092287,0.05211,363.219635,36.184647,475.613983
52,0,0.053958,0.092537,0.05091,373.949707,36.429371,478.370514
53,0,0.055114,0.093,0.049609,384.831024,36.800171,481.244232
54,0,0.055711,0.093718,0.048697,395.915314,37.253036,484.248108
55,0,0.0558,0.095498,0.047863,407.173859,37.864231,487.440796
56,0,0.055405,0.096525,0.047406,418.601501,38.56778,490.644348
57,0,0.054153,0.097504,0.047077,430.15686,39.370869,493.9245
58,0,0.052682,0.097978,0.046459,441.882294,40.183754,497.268066
59,0,0.051333,0.097408,0.045829,453.717529,41.026691,500.577972
60,0,0.049307,0.097071,0.044805,465.7146,41.819496,503.955536
61,0,0.047528,0.096361,0.043773,477.873962,42.528965,507.405823
62,0,0.045785,0.09633,0.042319,490.160461,43.136326,510.855927
63,0,0.044131,0.095375,0.041247,502.558899,43.644135,514.239929
64,0,0.042516,0.094407,0.040189,515.037048,44.023228,517.607849
65,0,0.04073,0.093424,0.039407,527.602478,44.310059,520.905518
66,0,0.039037,0.092427,0.038549,540.192505,44.506939,524.138123
67,0,0.03677,0.091179,0.037936,552.846313,44.586796,527.316833
68,0,0.034471,0.089735,0.037246,565.505798,44.557812,530.34668
69,0,0.030442,0.088028,0.03698,578.120239,44.443081,533.18927
70,0,0.026451,0.085892,0.03496,590.761414,44.105812,535.946899
71,0,0.024843,0.083677,0.035126,603.437134,43.891163,538.639221
72,0,0.020418,0.080807,0.033187,616.093201,43.329456,541.14801
73,0,0.017082,0.077701,0.032188,628.750916,42.78302,543.542603
74,0,0.013986,0.074364,0.031077,641.363098,42.13493,545.799866
75,0,0.010522,0.070863,0.029965,653.919312,41.394463,547.901978
76,0,0.007351,0.067157,0.029023,666.452271,40.574986,549.905945
77,0,0.00407,0.063529,0.028118,678.937378,39.653557,551.794556
78,0,0.001497,0.05964,0.027119,691.399353,38.628525,553.577759
79,0,0.002708,0.055823,0.025219,703.733154,37.738483,555.285889
80,0,0.003029,0.052007,0.023568,716.153992,36.599678,556.947815
81,0,0.002339,0.047487,0.022383,728.516602,35.280621,558.425537
82,0,0.002042,0.042875,0.021189,740.836975,33.8367,559.825073
83,0,0.002948,0.038015,0.019829,753.169678,32.233334,561.197632
