Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.02062,0.012849,-0.022194,128.106232,579.365234,168.167877
2,0,0.02074,0.013094,-0.022295,128.198502,579.380066,168.287506
3,0,0.020504,0.013365,-0.022337,128.283035,579.392517,168.431305
4,0,0.019437,0.013754,-0.022744,128.457108,579.575989,168.666214
5,0,0.019697,0.014107,-0.023044,128.545364,579.629883,168.920273
6,0,0.017883,0.014623,-0.022243,128.652786,579.423645,169.233551
7,0,0.019041,0.013833,-0.022134,128.778046,579.296021,169.42955
8,0,0.019264,0.014595,-0.022293,128.903259,579.34729,169.832748
9,0,0.017816,0.015312,-0.022174,128.998337,579.346985,170.233582
10,0,0.017687,0.018006,-0.022161,129.003113,579.367188,170.767426
11,0,0.017523,0.019025,-0.02208,129.113037,579.407349,171.305527
12,0,0.017468,0.020015,-0.022063,129.214844,579.441223,171.906464
13,0,0.017715,0.020773,-0.022054,129.310989,579.452332,172.543549
14,0,0.017101,0.021005,-0.02181,129.43071,579.413818,173.09317
15,0,0.018181,0.021253,-0.02174,129.520447,579.409485,173.852524
16,0,0.01271,-0.001372,-0.019196,130.582382,579.086487,174.695053
17,0,0.016406,0.007817,-0.020877,130.09993,579.384521,177.06691
18,0,0.016793,0.008255,-0.020757,130.196671,579.344421,177.904129
19,0,0.017442,0.008578,-0.020728,130.251236,579.314819,178.787781
20,0,0.017601,0.008778,-0.020621,130.341019,579.284729,179.732452
21,0,0.017626,0.007946,-0.02053,130.529358,579.274292,180.573441
22,0,0.01774,0.009538,-0.020662,130.444031,579.289795,181.749237
23,0,0.018092,0.010129,-0.020935,130.557938,579.30835,182.870316
24,0,0.018738,0.0111,-0.021236,130.661743,579.347717,184.043732
25,0,0.019232,0.011243,-0.021496,130.993805,579.350281,185.128952
26,0,0.020088,0.015373,-0.02096,130.94191,579.439575,186.483078
27,0,0.019273,0.015007,-0.021523,131.387985,579.448364,187.9422
28,0,0.019035,0.013824,-0.021378,131.711639,579.517212,189.275864
29,0,0.020016,0.013885,-0.0213,131.741776,579.484497,191.005142
30,0,0.018472,0.01324,-0.021442,132.0961,579.629944,192.868347
31,0,0.020232,0.01081,-0.022104,132.464508,579.670532,194.690811
32,0,0.021004,0.010033,-0.022504,132.580002,579.725342,196.888489
33,0,0.022701,0.008175,-0.023082,132.846313,579.864563,199.087006
34,0,0.023287,0.004948,-0.02369,133.407547,579.97998,201.277679
35,0,0.023879,0.004229,-0.024385,133.623352,580.220825,203.768555
36,0,0.024389,0.002223,-0.025317,134.136185,580.436462,206.155319
37,0,0.024104,-0.000209,-0.025905,134.64447,580.70874,208.61615
38,0,0.02288,-0.002556,-0.026249,135.354141,581.002747,211.171799
39,0,0.02176,-0.004986,-0.026955,135.995483,581.291443,213.708542
40,0,0.021412,-0.007445,-0.027585,136.60965,581.623047,216.187469
41,0,0.021408,-0.009819,-0.028549,137.270721,581.990417,218.71109
42,0,0.022988,-0.010744,-0.030386,138.209183,582.518982,221.49707
43,0,0.022402,-0.01242,-0.031429,139.012421,582.955505,224.073181
44,0,0.021122,-0.013612,-0.032406,139.821472,583.393555,226.6026
45,0,0.020654,-0.014438,-0.033589,140.779572,583.824768,229.186188
46,0,0.019571,-0.01623,-0.034796,141.818817,584.315369,231.497223
47,0,0.018847,-0.014445,-0.036294,142.825928,584.848633,234.263138
48,0,0.017574,-0.013588,-0.037571,143.861938,585.42749,236.710342
49,0,0.016143,-0.012433,-0.038896,144.771957,586.031189,239.036865
50,0,0.017181,-0.011443,-0.040529,145.680664,586.519836,241.291992
51,0,0.015643,-0.009598,-0.04224,146.774551,587.182739,243.55574
52,0,0.014708,-0.008871,-0.044325,148.13678,587.796509,245.584518
53,0,0.013325,-0.004798,-0.046156,149.016907,588.526733,247.830383
54,0,0.011504,-0.00229,-0.048133,150.179214,589.226196,249.822327
55,0,0.01031,0.000653,-0.050346,151.370773,589.927246,251.745407
56,0,0.009061,0.003629,-0.052325,152.548386,590.614258,253.608917
57,0,0.007789,0.006706,-0.054468,153.849854,591.262329,255.469528
58,0,0.00596,0.009986,-0.056151,155.01265,591.925476,257.249542
59,0,0.004361,0.013234,-0.05767,156.037796,592.706848,258.919464
60,0,0.002325,0.016322,-0.059007,157.165588,593.407593,260.571869
61,0,0.000852,0.017905,-0.060343,158.380127,594.103149,262.051514
62,0,-0.001021,0.021579,-0.061485,159.394455,594.750488,263.794434
63,0,-0.002674,0.024231,-0.062567,160.364868,595.460266,265.263062
64,0,-0.00296,0.025127,-0.063389,161.52774,596.224426,266.466675
65,0,-0.003596,0.028271,-0.064406,162.316711,596.8797,267.915466
66,0,-0.004249,0.029987,-0.065127,163.174286,597.540222,269.108093
67,0,-0.004375,0.031429,-0.065893,164.009109,598.179382,270.249023
68,0,-0.00427,0.03252,-0.06678,164.803925,598.807068,271.292389
69,0,-0.004323,0.032131,-0.067538,165.843628,599.34845,272.216034
70,0,-0.004656,0.032679,-0.067768,166.569489,599.953552,273.134308
71,0,-0.005716,0.033131,-0.067244,167.15892,600.723999,274.03186
72,0,-0.006844,0.03406,-0.067274,167.727585,601.269226,274.891693
73,0,-0.006034,0.034154,-0.067705,168.306961,601.847107,275.854156
74,0,-0.006291,0.033767,-0.067715,168.841995,602.35437,276.645294
75,0,-0.006213,0.033188,-0.067969,169.359528,602.852966,277.376465
76,0,-0.006244,0.032199,-0.068271,169.893341,603.262939,278.05899
77,0,-0.005706,0.031478,-0.068507,170.181946,603.762146,278.605103
78,0,-0.005374,0.029104,-0.069019,170.804932,604.085571,279.021057
79,0,-0.004914,0.028156,-0.069482,171.117981,604.497437,279.459595
80,0,-0.004581,0.027072,-0.069942,171.412292,604.885071,279.808502
81,0,-0.003886,0.02753,-0.070356,171.406967,605.377319,280.223175
82,0,-0.00381,0.026522,-0.070828,171.64061,605.755005,280.479828
83,0,-0.00357,0.025446,-0.071267,171.867386,606.09967,280.722198
84,0,-0.003794,0.024506,-0.071807,172.048035,606.450684,280.896729
85,0,-0.003911,0.022392,-0.072129,172.319534,606.774414,280.932343
86,0,-0.004532,0.021483,-0.072322,172.423386,607.104858,281.042297
87,0,-0.005296,0.021974,-0.072485,172.361252,607.438171,281.26001
88,0,-0.005926,0.021169,-0.072691,172.387558,607.771606,281.289551
89,0,-0.006724,0.020399,-0.072977,172.368637,608.049805,281.283234
90,0,-0.007876,0.019796,-0.073271,172.327209,608.314758,281.22998
91,0,-0.009305,0.018774,-0.073756,172.361755,608.47467,281.152313
92,0,-0.010155,0.018257,-0.074137,172.237198,608.697876,280.987579
93,0,-0.010998,0.017858,-0.07452,172.033936,608.870178,280.772278
94,0,-0.011883,0.017483,-0.074967,171.829605,609.026917,280.505615
95,0,-0.012701,0.017056,-0.075359,171.57605,609.149292,280.191559
96,0,-0.013402,0.017006,-0.075675,171.29335,609.247375,279.86496
97,0,-0.013412,0.01726,-0.075958,170.845795,609.416443,279.471008
98,0,-0.014127,0.017424,-0.07619,170.538589,609.437927,279.127899
99,0,-0.014232,0.017568,-0.0765,170.20311,609.434509,278.774628
100,0,-0.014431,0.017766,-0.076687,169.836868,609.395996,278.417725
101,0,-0.013035,0.017898,-0.077778,169.613159,609.12384,278.107849
102,0,-0.012786,0.018342,-0.077993,169.208817,609.027832,277.756622
103,0,-0.012486,0.0188,-0.078203,168.800385,608.906006,277.412292
104,0,-0.012469,0.019469,-0.0784,168.382156,608.750916,277.059875
105,0,-0.011549,0.020503,-0.078582,167.814865,608.666504,276.674469
106,0,-0.011104,0.021309,-0.078804,167.426666,608.458862,276.323059
107,0,-0.010731,0.02211,-0.07901,167.011429,608.210632,275.986298
108,0,-0.011283,0.022824,-0.078947,166.700623,607.857971,275.655426
109,0,-0.010756,0.023703,-0.078891,166.269638,607.622437,275.301636
110,0,-0.011369,0.024238,-0.078702,165.911499,607.322571,274.84079
111,0,-0.010122,0.025883,-0.078508,165.296219,607.172974,274.566589
112,0,-0.010201,0.026723,-0.078187,164.890427,606.907715,274.23941
113,0,-0.010151,0.027654,-0.077794,164.455856,606.625916,273.887634
114,0,-0.010026,0.028478,-0.077292,164.022217,606.355774,273.526642
115,0,-0.01049,0.02896,-0.076698,163.701614,605.997986,273.217743
116,0,-0.010267,0.029772,-0.076039,163.241867,605.706726,272.870941
117,0,-0.009778,0.030636,-0.0753,162.701019,605.499023,272.503632
118,0,-0.009761,0.031285,-0.074537,162.2612,605.194458,272.170319
119,0,-0.009821,0.031569,-0.073548,161.905151,604.880737,271.762634
120,0,-0.009369,0.032562,-0.072754,161.465057,604.589905,271.569061
121,0,-0.009436,0.033237,-0.071796,161.071411,604.281616,271.312469
122,0,-0.009664,0.033837,-0.070606,160.696335,603.968811,271.072754
123,0,-0.009743,0.034335,-0.069589,160.317368,603.670898,270.877869
124,0,-0.010255,0.034576,-0.068586,160.081085,603.296692,270.732269
125,0,-0.009815,0.035149,-0.067367,159.600403,603.072815,270.54126
126,0,-0.01017,0.035372,-0.066372,159.407944,602.677917,270.445465
127,0,-0.009762,0.035534,-0.065225,159.079559,602.379883,270.31189
128,0,-0.00952,0.03588,-0.064108,158.768845,602.06897,270.200592
129,0,-0.009041,0.036053,-0.063082,158.475861,601.768921,270.087189
130,0,-0.008643,0.036382,-0.061967,158.092239,601.557434,269.949036
131,0,-0.008438,0.036411,-0.060946,157.821503,601.275696,269.877136
132,0,-0.008301,0.036433,-0.060011,157.591492,601.014709,269.793945
133,0,-0.008348,0.036295,-0.058958,157.370743,600.757202,269.721741
134,0,-0.008407,0.036232,-0.057928,157.150238,600.524109,269.66156
135,0,-0.008409,0.036153,-0.056986,156.930679,600.307617,269.637207
136,0,-0.008319,0.036061,-0.056149,156.727783,600.130432,269.620026
137,0,-0.008572,0.035823,-0.055177,156.549042,599.94751,269.616364
138,0,-0.008524,0.035625,-0.054229,156.363144,599.760498,269.629822
139,0,-0.00877,0.035342,-0.053332,156.189865,599.613525,269.644135
140,0,-0.008604,0.035094,-0.052528,156.014175,599.456177,269.678619
141,0,-0.008839,0.034697,-0.051707,155.839203,599.298523,269.720367
142,0,-0.008778,0.034475,-0.050904,155.686844,599.136108,269.762329
143,0,-0.009006,0.034262,-0.05016,155.518814,598.978455,269.831055
144,0,-0.009174,0.034011,-0.04942,155.398361,598.836243,269.906708
145,0,-0.009303,0.033865,-0.048893,155.325134,598.697266,270.03537
146,0,-0.009888,0.03392,-0.048296,155.253815,598.562012,270.174316
147,0,-0.010887,0.033738,-0.047693,155.32338,598.364136,270.381104
148,0,-0.010968,0.034095,-0.047054,155.238525,598.306885,270.567261
149,0,-0.01181,0.034002,-0.046587,155.390945,598.107483,270.860168
150,0,-0.01167,0.033298,-0.046172,155.49823,598.050415,271.001648
151,0,-0.012241,0.033624,-0.04574,155.639191,597.945068,271.339874
152,0,-0.012813,0.034023,-0.045333,155.814804,597.815979,271.731384
153,0,-0.013797,0.034388,-0.044962,156.121475,597.642639,272.195435
154,0,-0.015085,0.034429,-0.044592,156.444458,597.530823,272.529388
155,0,-0.014776,0.036486,-0.044549,156.568207,597.49176,273.311646
156,0,-0.015043,0.036967,-0.044496,156.933914,597.451172,273.843323
157,0,-0.015456,0.037518,-0.044327,157.348846,597.416504,274.437134
158,0,-0.015755,0.037976,-0.044359,157.782776,597.415222,275.04837
159,0,-0.016257,0.038598,-0.044129,158.15979,597.496277,275.628235
160,0,-0.016686,0.038989,-0.043905,158.680862,597.534729,276.285217
161,0,-0.017235,0.038165,-0.043816,159.473221,597.541382,276.89566
162,0,-0.017758,0.038376,-0.043655,160.119095,597.636353,277.660858
163,0,-0.018479,0.038998,-0.043076,160.676773,597.841919,278.388641
164,0,-0.019006,0.039266,-0.042814,161.406647,598.028931,279.207733
165,0,-0.019932,0.03923,-0.042597,162.335983,598.167725,280.083405
166,0,-0.020612,0.040734,-0.042121,162.965118,598.475464,281.071747
167,0,-0.021378,0.04103,-0.041698,163.876953,598.712708,282.030365
168,0,-0.022333,0.041223,-0.041344,164.996628,598.964722,283.091095
169,0,-0.024489,0.041164,-0.040402,166.102188,599.344727,284.047455
170,0,-0.02708,0.0408,-0.039184,167.440979,599.697754,285.215393
171,0,-0.027952,0.04132,-0.038493,168.681458,600.133972,286.417023
172,0,-0.029344,0.041842,-0.037821,170.227676,600.451538,287.767822
173,0,-0.029924,0.043783,-0.036999,171.600937,600.921021,289.2612
174,0,-0.030578,0.044324,-0.036284,173.381699,601.26532,290.787659
175,0,-0.032855,0.0455,-0.035508,175.179169,601.824219,292.392548
176,0,-0.034569,0.047508,-0.03589,177.333206,602.242188,294.151459
177,0,-0.035495,0.046904,-0.035443,179.769089,602.619385,295.945312
178,0,-0.036352,0.047597,-0.034905,182.189941,603.080505,297.950134
179,0,-0.036844,0.04873,-0.034393,184.646713,603.594604,300.03186
180,0,-0.037861,0.050433,-0.033779,187.211761,604.071411,302.415955
181,0,-0.038198,0.051109,-0.03347,190.065155,604.559814,304.851105
182,0,-0.038542,0.050261,-0.033312,193.207901,605.00293,307.329773
183,0,-0.039448,0.051981,-0.032943,196.256119,605.500793,310.19754
184,0,-0.040291,0.051578,-0.032587,199.735443,605.958435,312.969727
185,0,-0.040766,0.053618,-0.032541,203.46907,606.402893,316.206299
186,0,-0.042041,0.052964,-0.032412,207.21756,606.896179,319.151154
187,0,-0.042997,0.05495,-0.032334,211.016174,607.421265,322.470428
188,0,-0.04366,0.055704,-0.032616,215.115631,607.917053,325.723022
189,0,-0.044657,0.056688,-0.032722,219.383301,608.426392,329.029419
190,0,-0.045243,0.056462,-0.032997,223.9655,608.932251,332.253143
191,0,-0.044985,0.057515,-0.033593,228.799896,609.382935,335.731049
192,0,-0.044342,0.059842,-0.034315,233.607758,609.921021,339.279816
193,0,-0.043341,0.061897,-0.034973,238.576569,610.454224,342.761749
194,0,-0.042951,0.062453,-0.035594,243.843994,610.995361,346.023712
195,0,-0.042112,0.06273,-0.036169,249.384186,611.466797,349.344147
196,0,-0.038259,0.065948,-0.038536,254.996597,612.153931,352.972809
197,0,-0.036055,0.066287,-0.040065,260.913483,612.685486,356.338409
198,0,-0.034254,0.068422,-0.041239,266.673981,613.281616,359.818451
199,0,-0.034654,0.06992,-0.043297,273.123077,614.055786,363.469452
200,0,-0.030844,0.073265,-0.046119,279.687073,614.835999,367.474426
201,0,-0.031306,0.0736,-0.047371,286.038574,615.534241,370.771393
202,0,-0.030923,0.075737,-0.049051,292.540527,616.204102,374.401123
203,0,-0.027869,0.076532,-0.049626,298.924042,617.023682,377.481262
204,0,-0.025195,0.077011,-0.051272,305.574097,617.71405,380.834229
205,0,-0.028875,0.076746,-0.050967,310.260742,618.240906,378.541443
206,0,-0.03161,0.075853,-0.050532,317.18512,618.640869,381.638916
207,0,-0.030125,0.076288,-0.052019,324.401123,619.319153,385.061859
208,0,-0.016275,0.081265,-0.057886,332.502472,620.158447,389.518646
209,0,-0.024209,0.080113,-0.056312,339.63324,620.660767,392.399048
210,0,-0.021108,0.08024,-0.057551,347.247589,621.171448,395.462555
211,0,-0.018154,0.077358,-0.058796,354.362762,621.710449,397.500427
212,0,-0.015247,0.077827,-0.060174,362.178375,622.263245,400.388092
213,0,-0.012623,0.078356,-0.061461,370.111603,622.817627,403.078857
214,0,0.004648,0.086463,-0.068976,379.131683,623.863098,407.236816
215,0,0.006031,0.087339,-0.069679,387.395996,624.478577,409.763824
216,0,0.006246,0.087768,-0.069874,395.738098,625.149109,412.16803
217,0,0.001047,0.087464,-0.067801,403.983643,625.704163,414.285614
218,0,0.005057,0.088484,-0.068312,412.728394,626.375549,417.046509
219,0,0.003282,0.088386,-0.066491,421.373566,626.86261,419.50235
220,0,0.003532,0.089052,-0.06538,430.147675,627.412415,422.222534
221,0,0.00243,0.088504,-0.063287,438.799103,627.799683,424.69986
222,0,-0.004029,0.086636,-0.058992,447.054596,628.030212,426.771973
223,0,-0.016064,0.078283,-0.051401,455.087524,627.968201,427.986908
224,0,-0.014881,0.077341,-0.049919,463.891113,628.140259,430.39209
225,0,-0.015678,0.075694,-0.047736,472.672394,628.396729,432.815186
226,0,-0.013918,0.074811,-0.046709,481.590057,628.538208,435.032532
227,0,-0.013498,0.073052,-0.045079,490.522278,628.823486,437.308502
228,0,-0.011677,0.071796,-0.043958,499.555939,629.044983,439.463562
229,0,-0.009818,0.070596,-0.043097,508.663818,629.350708,441.628143
230,0,-0.006311,0.06983,-0.042937,517.897034,629.664001,443.77063
231,0,-0.005122,0.068812,-0.04196,527.105652,630.084106,445.974792
232,0,-0.004355,0.067721,-0.040837,536.413757,630.56604,448.27652
233,0,-0.005234,0.066171,-0.038998,545.642334,631.204468,450.598633
234,0,-0.005368,0.064792,-0.03757,555.072449,631.802063,452.936829
235,0,-0.005629,0.063655,-0.036081,564.484436,632.451721,455.464813
236,0,-0.006127,0.062493,-0.034397,573.909668,633.161865,458.031311
237,0,-0.006718,0.061182,-0.032738,583.364807,633.901917,460.6521
238,0,-0.006835,0.059941,-0.031013,592.867493,634.628113,463.390381
239,0,-0.006337,0.058679,-0.029599,602.413391,635.367004,466.27124
240,0,-0.007242,0.056827,-0.028058,611.919617,636.067627,468.951965
241,0,-0.00687,0.055211,-0.026823,621.478149,636.733337,471.834808
242,0,-0.006775,0.053471,-0.025748,631.033875,637.357849,474.660736
243,0,-0.00551,0.051718,-0.025098,640.602051,637.929871,477.538208
244,0,-0.00149,0.049046,-0.025696,650.100281,638.476807,480.64679
245,0,-0.004012,0.045127,-0.024628,659.451477,639.064209,483.565857
246,0,-0.002253,0.043111,-0.024887,668.991394,639.614197,486.415344
247,0,-0.001394,0.040894,-0.025153,678.5,640.152771,489.211609
248,0,0.000032,0.038628,-0.025944,688.073975,640.766113,491.972565
249,0,0.001442,0.036434,-0.026942,697.65094,641.386108,494.722015
250,0,0.0022,0.034143,-0.02796,707.227417,642.065552,497.392395
251,0,0.003123,0.032063,-0.029075,716.844543,642.803284,500.039032
252,0,0.003304,0.030051,-0.030313,726.501953,643.603882,502.656769
253,0,0.003397,0.028251,-0.031429,736.174255,644.423462,505.250977
254,0,0.003494,0.026416,-0.032648,745.907043,645.299438,507.848969
255,0,0.002671,0.02413,-0.033582,755.701233,646.186279,510.329071
256,0,0.002643,0.022718,-0.03472,765.531982,647.138733,512.920715
257,0,0.002384,0.021156,-0.035739,775.419495,648.127441,515.477844
258,0,0.006307,0.021006,-0.037739,785.32074,648.875916,517.993774
259,0,0.005506,0.019891,-0.038274,795.327942,649.892883,520.415039
260,0,0.006154,0.018034,-0.038359,805.418945,651.052246,522.804993
261,0,0.002288,0.017497,-0.038679,815.542114,652.008606,524.955688
262,0,0.001109,0.016567,-0.039118,825.804321,653.038086,527.001892
263,0,-0.000712,0.014946,-0.03795,836.157959,654.25238,529.100037
264,0,0.00053,0.015153,-0.038121,846.605652,655.246887,530.972839
265,0,-0.0041,0.01353,-0.038311,857.163513,656.027344,532.617554
266,0,-0.004208,0.013357,-0.037827,867.601929,657.107483,534.288208
267,0,-0.005532,0.013078,-0.038012,878.149902,657.889832,535.85321
268,0,-0.008544,0.013542,-0.037919,888.673157,658.764099,537.431335
269,0,-0.011025,0.012751,-0.037234,899.240784,659.728271,539.115295
270,0,-0.012599,0.011301,-0.035978,909.828735,660.753113,540.892273
271,0,-0.014972,0.010243,-0.035541,920.410095,661.636719,542.583984
272,0,-0.017307,0.012706,-0.035674,930.814209,662.416504,544.499207
273,0,-0.01691,0.010646,-0.034781,941.443542,663.322449,546.205139
274,0,-0.017906,0.009623,-0.034768,952.027283,664.050659,547.750549
275,0,-0.016883,0.009255,-0.034035,962.416992,664.784119,549.306091
276,0,-0.017264,0.00897,-0.034865,973.007935,665.267822,550.563721
277,0,-0.015079,0.008164,-0.03476,983.567566,665.872803,551.979492
278,0,-0.010638,0.005394,-0.034751,994.399841,666.576416,553.36554
279,0,-0.007536,0.004234,-0.034683,1005.042175,667.158508,554.753662
280,0,-0.003957,0.003896,-0.034857,1015.565491,667.752014,556.322144
