Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,-0.003971,-0.00612,0.11344,54.634193,19.883343,174.636292
2,0,-0.004009,-0.006115,0.113396,54.642872,19.876228,174.650177
3,0,-0.003993,-0.00615,0.113468,54.626545,19.879271,174.653778
4,0,-0.01733,-0.004089,0.117679,55.293972,19.750134,175.141602
5,0,-0.018269,-0.005091,0.118325,55.314346,19.85393,175.310028
6,0,-0.017369,-0.004745,0.117775,55.270054,19.780544,175.211548
7,0,-0.018213,-0.005133,0.118317,55.324375,19.859289,175.304703
8,0,-0.017498,-0.004709,0.117859,55.285316,19.782515,175.211487
9,0,-0.017767,-0.005041,0.118061,55.339352,19.827204,175.306168
10,0,-0.018264,-0.00499,0.118329,55.300385,19.852057,175.289322
11,0,-0.017453,-0.004645,0.117824,55.274548,19.786261,175.231995
12,0,-0.017466,-0.004661,0.117787,55.275173,19.784883,175.233994
13,0,-0.017432,-0.004629,0.117837,55.265427,19.797007,175.227707
14,0,-0.01751,-0.004719,0.117817,55.267311,19.79874,175.217117
15,0,-0.017288,-0.004725,0.117808,55.266235,19.806376,175.198334
16,0,-0.015943,-0.004317,0.118009,55.173679,19.761581,175.303497
17,0,-0.01585,-0.004363,0.117929,55.173656,19.753208,175.308121
18,0,-0.016419,-0.004733,0.11829,55.225769,19.813213,175.410828
19,0,-0.014997,-0.004892,0.118542,55.184639,19.833345,175.37616
20,0,-0.015281,-0.005073,0.118977,55.194839,19.898073,175.427216
21,0,-0.016756,-0.004709,0.118426,55.181091,19.83415,175.388535
22,0,-0.015911,-0.004409,0.117968,55.164181,19.754913,175.312988
23,0,-0.015883,-0.004387,0.11794,55.159187,19.767431,175.296432
24,0,-0.016686,-0.004714,0.118395,55.206051,19.829845,175.372025
25,0,-0.016501,-0.00478,0.118289,55.227295,19.822239,175.396271
26,0,-0.016674,-0.004736,0.118349,55.201572,19.841171,175.382767
27,0,-0.01591,-0.004337,0.117981,55.152992,19.769838,175.317215
28,0,-0.016634,-0.004758,0.118369,55.195671,19.822206,175.416397
29,0,-0.015964,-0.00441,0.117956,55.1497,19.764217,175.316772
30,0,-0.014468,-0.004866,0.118774,55.150791,19.874235,175.36235
31,0,-0.015893,-0.004399,0.117915,55.153206,19.763573,175.306839
32,0,-0.0157,-0.004889,0.117982,55.248722,19.804312,175.430405
33,0,-0.015936,-0.004394,0.117905,55.149239,19.77351,175.291809
34,0,-0.015867,-0.004358,0.117958,55.149509,19.767941,175.300461
35,0,-0.016596,-0.004655,0.118368,55.181179,19.837805,175.388062
36,0,-0.016361,-0.004732,0.118243,55.217915,19.81815,175.439056
37,0,-0.017028,-0.004653,0.118483,55.171551,19.844063,175.398651
38,0,-0.016018,-0.004348,0.117914,55.139854,19.782791,175.318634
39,0,-0.0165,-0.004531,0.118229,55.162861,19.825584,175.365692
40,0,-0.015518,-0.004851,0.117691,55.275276,19.807884,175.450195
41,0,-0.016942,-0.004531,0.118392,55.182987,19.861286,175.37825
42,0,-0.015669,-0.00413,0.117904,55.151241,19.789022,175.305222
43,0,-0.016337,-0.004491,0.118473,55.195255,19.867189,175.395966
44,0,-0.016389,-0.005078,0.118485,55.186596,19.870743,175.411545
45,0,-0.016276,-0.006411,0.117898,55.520668,19.848402,175.396729
46,0,-0.015738,-0.006012,0.118029,55.979412,19.804928,175.415924
47,0,-0.013243,-0.006382,0.116931,56.81979,19.692957,175.439209
48,0,-0.012875,-0.006327,0.117877,57.707928,19.718124,175.265076
49,0,-0.009911,-0.005375,0.118504,58.814896,19.725536,175.222733
50,0,-0.009153,-0.004513,0.119472,59.829792,19.772408,175.00943
51,0,-0.007221,-0.003931,0.11939,60.694584,19.771587,174.981873
52,0,-0.008057,-0.003499,0.120397,61.396015,19.920765,174.848465
53,0,-0.007423,-0.005012,0.119384,62.145981,19.86521,174.888535
54,0,-0.004561,-0.007464,0.118634,63.236645,19.81382,175.003632
55,0,-0.004728,-0.011304,0.116958,64.857491,19.826193,174.951553
56,0,-0.004798,-0.013777,0.117434,66.552261,19.868032,175.138168
57,0,-0.002928,-0.016054,0.117698,68.927986,19.888865,175.150208
58,0,0.000289,-0.019064,0.118193,71.916817,20.008764,175.238297
59,0,0.001668,-0.020676,0.11897,75.187149,20.063473,175.272873
60,0,0.00169,-0.022998,0.118747,79.155853,20.286858,175.282578
61,0,0.00454,-0.02471,0.120255,83.430992,20.741592,175.357239
62,0,0.004439,-0.02651,0.118871,88.27961,21.077507,175.14743
63,0,0.00746,-0.028327,0.120155,93.699783,21.775015,175.232529
64,0,0.006345,-0.029309,0.121309,99.562035,22.393002,175.263474
65,0,0.005501,-0.029892,0.120804,105.945435,22.889713,175.08197
66,0,0.005798,-0.031431,0.122017,112.985687,23.639303,175.153183
67,0,0.007304,-0.032472,0.122442,120.473282,24.352001,175.097321
68,0,0.009945,-0.032801,0.123854,128.342896,25.278025,174.949051
69,0,0.010234,-0.034732,0.124382,136.9133,26.268967,174.961121
70,0,0.012358,-0.034273,0.124164,145.900574,27.220501,174.978027
71,0,0.012069,-0.035482,0.123645,155.457748,28.301611,174.868774
72,0,0.012406,-0.035559,0.123947,165.357254,29.434092,174.812378
73,0,0.011461,-0.037567,0.122653,175.885223,30.587118,174.884628
74,0,0.011877,-0.039899,0.122761,186.778915,31.919584,174.944473
75,0,0.011981,-0.041973,0.122671,198.139603,33.331863,174.930847
76,0,0.011258,-0.043503,0.123356,209.943527,34.840027,174.892746
77,0,0.013789,-0.046704,0.123097,222.386169,36.121479,174.852264
78,0,0.015769,-0.049544,0.12417,235.181152,37.365002,174.816086
79,0,0.017229,-0.050767,0.125302,248.50531,38.740746,174.806625
80,0,0.017907,-0.052284,0.125486,262.473358,40.290863,174.649719
81,0,0.020122,-0.051319,0.128169,276.830719,42.074394,174.622421
82,0,0.019795,-0.051449,0.129361,291.821686,43.888855,174.575363
83,0,0.020036,-0.053012,0.130108,307.228912,45.821999,174.564758
84,0,0.020833,-0.054042,0.131381,322.983002,47.741142,174.793655
85,0,0.022669,-0.054879,0.131311,339.257843,49.599659,174.952637
86,0,0.024443,-0.05382,0.131658,355.910645,51.670654,174.896637
87,0,0.018901,-0.05421,0.132219,373.153137,54.030506,175.075027
88,0,0.019891,-0.053759,0.132673,390.876648,56.636196,175.203186
89,0,0.020134,-0.053574,0.133404,409.042664,59.078766,175.343948
90,0,0.020779,-0.052854,0.135276,427.597656,61.450012,175.412491
91,0,0.021982,-0.052218,0.136516,446.714691,63.88279,175.498825
92,0,0.021699,-0.052369,0.137439,466.223755,66.4039,175.576477
93,0,0.022584,-0.054146,0.137795,486.023315,68.942894,175.67984
94,0,0.022415,-0.056388,0.138664,506.186432,71.613129,175.671967
95,0,0.022343,-0.057539,0.139614,526.838684,74.41954,175.681686
96,0,0.023812,-0.056844,0.139929,547.89856,77.361771,175.59436
97,0,0.021836,-0.055355,0.142238,569.686829,80.174232,175.508881
98,0,0.021814,-0.053671,0.143174,591.905579,83.189575,175.460312
99,0,0.021087,-0.05305,0.143857,614.502869,86.274872,175.499649
100,0,0.021369,-0.053116,0.143936,637.430786,89.357559,175.585556
101,0,0.023002,-0.053402,0.143015,660.660461,92.434067,175.735718
102,0,0.020544,-0.053543,0.143068,684.306152,95.705849,175.890121
103,0,0.019808,-0.053188,0.141517,708.572327,98.992538,176.002975
104,0,0.018868,-0.053248,0.140973,733.134766,102.244667,176.120972
105,0,0.019041,-0.052443,0.140142,758.219299,105.391571,176.200455
106,0,0.01908,-0.051784,0.138134,783.710876,108.579536,176.305618
107,0,0.018319,-0.053001,0.135272,809.513611,111.812538,176.450714
108,0,0.016514,-0.054137,0.132658,835.659363,115.031853,176.526825
109,0,0.0142,-0.054925,0.130393,862.215271,118.316963,176.503815
110,0,0.011483,-0.054558,0.127758,889.240234,121.595047,176.417892
111,0,0.009424,-0.054264,0.124183,916.766296,124.709595,176.29805
112,0,0.009,-0.05359,0.11951,944.828552,127.56826,176.32782
113,0,0.009945,-0.053105,0.113732,973.202576,130.226242,176.205627
114,0,0.009407,-0.052939,0.108743,1001.910583,132.76239,176.245239
115,0,0.00827,-0.053012,0.104019,1031.100952,135.122055,176.371643
116,0,0.008341,-0.052288,0.099357,1060.722046,137.34552,176.521576
117,0,0.007837,-0.049842,0.094282,1091.05481,139.480057,177.073563
118,0,0.003708,-0.051026,0.088228,1121.407104,141.526138,177.484192
119,0,0.001508,-0.051994,0.083139,1152.003418,143.441895,177.635727
120,0,-0.001216,-0.052464,0.078147,1183.048706,145.278397,177.736496
121,0,-0.0032,-0.051688,0.072674,1214.583862,146.920197,177.751251
122,0,-0.006258,-0.051648,0.066991,1246.515869,148.391006,177.786819
123,0,-0.006311,-0.051417,0.059314,1278.849731,149.490082,177.764877
