Objects
120
,,Global Angle jet2:jet2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.135214,-0.319517,4.171151,3692.370605,-3428.346924,178.083649
2,0,0.147288,-0.322375,4.156954,3674.587158,-3459.331787,178.736618
3,0,0.137116,-0.323492,4.144414,3655.438721,-3490.341309,178.688553
4,0,0.066750,-0.131774,4.113120,3635.549072,-3519.699219,178.261520
5,0,0.061378,-0.117523,4.093498,3615.655029,-3549.864502,178.043793
6,0,0.075048,-0.133223,4.083018,3595.448242,-3579.477783,177.519928
7,0,0.066480,-0.118257,4.077071,3573.572754,-3608.912354,176.904968
8,0,0.068231,-0.131763,4.064086,3553.160889,-3638.889648,176.450104
9,0,0.065457,-0.133599,4.051206,3531.788574,-3668.263916,176.133667
10,0,0.069748,-0.159222,4.035370,3510.314453,-3696.903809,176.279907
11,0,0.058180,-0.149550,4.019286,3487.347900,-3725.342529,176.827255
12,0,0.067848,-0.141134,3.993906,3466.076660,-3753.773926,176.286865
13,0,0.068009,-0.156233,3.992041,3443.026123,-3781.819336,176.116470
14,0,0.062938,-0.165660,3.984018,3419.690918,-3808.751465,176.145248
15,0,0.075620,-0.139726,3.956144,3395.048584,-3835.267578,176.887558
16,0,0.135181,-0.174266,3.925696,3379.191162,-3864.937500,171.033051
17,0,0.133588,-0.171971,3.911019,3354.430420,-3891.166016,170.993362
18,0,0.129255,-0.169261,3.897592,3329.154541,-3916.878418,170.922821
19,0,0.110441,-0.157336,3.887844,3303.898682,-3942.571533,170.532867
20,0,0.103987,-0.156032,3.874448,3277.678711,-3967.764893,170.214645
21,0,0.096445,-0.157716,3.861985,3251.192139,-3992.700439,170.090073
22,0,0.094951,-0.161969,3.848278,3224.413818,-4017.222412,170.012497
23,0,0.093117,-0.163525,3.832878,3197.325684,-4041.182129,170.144760
24,0,0.095059,-0.160832,3.817004,3169.902588,-4064.621826,170.381241
25,0,0.095404,-0.152317,3.805155,3141.886719,-4087.132080,170.417755
26,0,0.096064,-0.146301,3.791240,3113.748779,-4109.546875,170.456177
27,0,0.097245,-0.151370,3.777243,3085.324707,-4131.902344,170.718353
28,0,0.101236,-0.218749,3.772687,3052.832031,-4152.684082,173.289719
29,0,0.101071,-0.204360,3.755152,3024.353760,-4174.069824,173.281403
30,0,0.095707,-0.187092,3.738078,2994.627441,-4195.104004,173.894653
31,0,0.062149,-0.163620,3.729233,2962.486572,-4214.344727,176.619217
32,0,0.065773,-0.158522,3.713409,2932.717773,-4234.553711,177.016083
33,0,0.074109,-0.146815,3.693978,2902.721680,-4254.577637,176.542130
34,0,0.088457,-0.145488,3.679114,2873.024658,-4273.649414,175.506073
35,0,0.082691,-0.147897,3.666087,2841.696289,-4292.729004,175.641144
36,0,0.077895,-0.143688,3.653416,2810.324707,-4311.444336,175.672592
37,0,0.070827,-0.149370,3.640240,2778.810303,-4329.980957,175.877563
38,0,0.064298,-0.155604,3.628052,2747.063232,-4348.219727,175.723679
39,0,0.059908,-0.154427,3.613893,2715.061035,-4365.730469,175.705673
40,0,0.047770,-0.145455,3.601506,2683.072998,-4382.343750,176.450165
41,0,0.050728,-0.096530,3.573050,2651.533203,-4399.855469,175.502518
42,0,0.046901,-0.095224,3.559391,2618.909424,-4416.042480,175.591949
43,0,0.041225,-0.142793,3.562900,2583.815430,-4430.557617,176.197968
44,0,0.042088,-0.134973,3.546991,2550.350098,-4445.546387,176.153915
45,0,0.037625,-0.131253,3.533243,2516.821777,-4460.182617,176.399063
46,0,0.037238,-0.129410,3.519797,2483.085693,-4474.580078,176.257645
47,0,0.035571,-0.131226,3.506339,2449.333984,-4488.659180,175.907379
48,0,0.035272,-0.131451,3.492774,2415.213379,-4502.291016,175.667923
49,0,0.036109,-0.133835,3.479885,2380.927490,-4515.450195,175.355301
50,0,0.035338,-0.133579,3.465977,2346.456787,-4528.118652,175.170486
51,0,0.035957,-0.131215,3.453109,2311.970703,-4540.108398,174.642700
52,0,0.032464,-0.125936,3.440708,2276.883545,-4551.556641,174.401184
53,0,0.030171,-0.124409,3.428998,2241.791016,-4562.603516,174.278717
54,0,0.031128,-0.123996,3.414503,2206.449951,-4573.462891,173.993942
55,0,0.027929,-0.124453,3.399911,2170.976074,-4583.708984,174.186295
56,0,0.034671,-0.119330,3.386191,2135.794434,-4593.030762,174.368118
57,0,0.040986,-0.116931,3.373090,2100.395020,-4601.946289,174.636765
58,0,0.045121,-0.122911,3.357764,2064.800293,-4610.516113,175.027451
59,0,0.043864,-0.121982,3.346426,2028.862183,-4618.962402,175.047379
60,0,0.040551,-0.115488,3.334857,1992.641479,-4626.695801,174.955780
61,0,0.037213,-0.109482,3.322899,1956.254028,-4634.116211,174.769791
62,0,0.034924,-0.108497,3.311018,1919.855469,-4641.365234,174.505234
63,0,0.033194,-0.111332,3.298419,1883.422363,-4648.271484,174.220581
64,0,0.026676,-0.111548,3.286268,1847.525269,-4654.354980,174.403976
65,0,0.024510,-0.105448,3.274946,1810.691040,-4659.869629,174.447662
66,0,0.024462,-0.102983,3.264681,1773.868286,-4665.153320,174.614014
67,0,0.020706,-0.104141,3.255547,1737.146240,-4670.274414,174.809631
68,0,0.018308,-0.102256,3.244393,1699.997070,-4674.914062,174.947556
69,0,0.016341,-0.099145,3.233799,1662.778076,-4678.972168,174.979218
70,0,0.014257,-0.100492,3.224493,1625.552124,-4682.652344,174.997070
71,0,0.013071,-0.100510,3.213851,1588.244019,-4686.152832,174.814713
72,0,0.011177,-0.101555,3.203286,1550.831787,-4689.347656,174.495636
73,0,0.010246,-0.100039,3.192351,1513.307495,-4692.277344,174.130753
74,0,0.010038,-0.098441,3.182201,1475.758057,-4694.549805,173.931290
75,0,0.010667,-0.099671,3.172773,1438.234985,-4696.615234,173.866776
76,0,0.009254,-0.099456,3.162528,1400.159180,-4698.259277,173.568649
77,0,0.009176,-0.094527,3.152388,1362.562256,-4699.147461,173.561615
78,0,0.008096,-0.094176,3.143728,1324.827148,-4699.629395,173.419983
79,0,0.010772,-0.093344,3.134794,1287.369019,-4700.145020,173.560745
80,0,0.012160,-0.093006,3.125866,1249.671875,-4700.430664,173.376831
81,0,0.014469,-0.092275,3.117378,1211.925049,-4700.436523,173.226532
82,0,0.016945,-0.089767,3.110829,1174.140869,-4700.055664,173.104019
83,0,0.022188,-0.086125,3.106289,1136.308228,-4699.575684,173.246933
84,0,0.023042,-0.080942,3.100800,1098.285889,-4698.728516,173.143829
85,0,0.022009,-0.074801,3.096777,1059.867432,-4697.581055,172.978256
86,0,0.020188,-0.074926,3.093032,1021.874451,-4696.214844,173.090500
87,0,0.019742,-0.073066,3.089823,983.666321,-4694.705078,172.995407
88,0,0.018868,-0.072797,3.086638,945.450195,-4693.230469,172.806046
89,0,0.021285,-0.070423,3.082248,907.022522,-4691.567871,172.395248
90,0,0.021850,-0.065958,3.079949,868.777222,-4689.470703,172.276932
91,0,0.021379,-0.063029,3.079894,830.569580,-4687.063965,172.299866
92,0,0.021120,-0.058727,3.078437,792.221130,-4684.810059,172.295609
93,0,0.018399,-0.053260,3.076604,753.749268,-4682.378418,172.274689
94,0,0.017256,-0.046539,3.075991,715.327820,-4679.737305,172.108444
95,0,0.017043,-0.045047,3.075910,676.881287,-4677.351562,171.940018
96,0,0.016307,-0.044717,3.075321,638.366333,-4675.137207,171.702103
97,0,0.017148,-0.036456,3.072459,599.896667,-4673.107422,171.543991
98,0,0.019971,-0.031116,3.074344,561.523315,-4670.622070,171.465408
99,0,0.023900,-0.023892,3.076807,523.147461,-4668.065430,171.436310
